"True stress, MPa","True strain, -"
1.60E-12,0
40.69159194,0.000173152
81.41870083,0.000346291
122.1813442,0.000519417
162.9795446,0.000692531
203.813323,0.000865633
244.6827004,0.001038722
285.5876979,0.001211798
326.5283368,0.001384862
367.5046381,0.001557914
408.5166231,0.001730953
449.5643129,0.00190398
490.6477287,0.002076994
531.7668919,0.002249996
572.9218235,0.002422986
614.1125449,0.002595963
655.3390773,0.002768928
696.6014421,0.00294188
737.8996605,0.00311482
779.2337538,0.003287748
820.6037435,0.003460664
924.1859042,0.003892899
1027.988172,0.00432506
1131.367733,0.004757552
1230.752189,0.005192627
1318.247707,0.005635252
1385.510638,0.006090638
1433.061854,0.006558366
1463.223956,0.007036945
1483.8062,0.007521331
1498.561048,0.00800909
1509.598219,0.008498929
1518.313441,0.00899
1525.387952,0.009481834
1531.392869,0.009974055
1536.673437,0.010466463
1541.373606,0.010959
1545.560042,0.011451654
1549.326162,0.011944372
1552.729132,0.012437103
1555.797261,0.012929799
1558.557582,0.013422433
1561.038697,0.013914987
1563.275446,0.014407436
1565.296238,0.014899763
1567.129406,0.015391953
1568.805086,0.015883985
1570.351933,0.016375836
1571.785604,0.016867496
1573.110855,0.017358962
1574.333012,0.017850232
1575.460092,0.018341302
1576.50003,0.018832166
1577.462287,0.019322819
1578.359134,0.019813253
1579.201675,0.020303465
1579.995763,0.020793453
1580.742782,0.02128322
1581.444021,0.021772767
1582.10331,0.022262091
1582.72491,0.022751187
1583.311787,0.023240051
1583.86607,0.023728681
1584.389984,0.024217076
1584.885866,0.024705235
1585.355755,0.02519316
1585.801197,0.025680849
1586.223321,0.026168302
1586.623226,0.026655518
1587.002412,0.027142498
1587.362629,0.027629243
1587.70544,0.028115754
1588.032054,0.028602035
1588.343431,0.029088086
1588.640362,0.029573908
1588.923551,0.030059504
1589.193632,0.030544872
1589.451169,0.031030015
1589.696616,0.031514933
1589.930377,0.031999627
1590.152933,0.032484099
1590.36494,0.032968347
1590.567201,0.033452372
1590.760594,0.033936172
1590.945959,0.034419747
1591.124043,0.034903096
1591.295458,0.035386219
1591.460665,0.035869115
1591.619983,0.036351784
1591.773625,0.036834226
1591.921727,0.037316441
1592.064406,0.037798428
1592.201785,0.038280188
1592.334044,0.03876172
1592.461426,0.039243025
1592.584224,0.039724102
1592.702755,0.04020495
1592.817339,0.040685571
1592.928294,0.041165963
1593.035916,0.041646127
1593.14048,0.042126062
1593.242234,0.042605769
1593.341395,0.043085248
1593.438143,0.043564498
1593.532639,0.044043521
1593.625012,0.044522315
1593.715369,0.045000881
1593.803802,0.04547922
1593.890376,0.04595733
1593.975147,0.046435212
1594.058156,0.046912867
1594.139427,0.047390294
1594.218984,0.047867492
1594.296838,0.048344464
1594.373011,0.048821208
1594.447532,0.049297724
1594.520449,0.049774013
1594.591821,0.050250076
1594.661724,0.050725911
1594.73024,0.051201519
1594.797448,0.051676901
1594.863434,0.052152056
1594.92828,0.052626985
1594.992066,0.053101688
1595.054871,0.053576165
1595.116767,0.054050417
1595.17783,0.054524442
1595.23812,0.054998242
1595.297699,0.055471817
1595.35662,0.055945167
1595.41492,0.056418292
1595.472649,0.056891192
1595.529834,0.057363868
1595.5865,0.057836319
1595.642669,0.058308546
1595.698362,0.058780548
1595.753595,0.059252327
1595.808384,0.059723882
1595.862742,0.060195213
1595.916677,0.06066632
1595.970194,0.061137203
1596.023282,0.061607862
1596.075935,0.062078297
1596.128122,0.062548508
1596.179825,0.063018496
1596.231002,0.06348826
1596.281629,0.063957799
1596.331676,0.064427115
1596.38112,0.064896208
1596.429938,0.065365076
1596.478113,0.06583372
1596.525628,0.066302141
1596.572465,0.066770337
1596.618616,0.06723831
1596.664079,0.067706059
1596.708863,0.068173584
1596.752994,0.068640885
1596.796505,0.069107963
1596.839453,0.069574817
1596.881894,0.070041448
1596.923888,0.070507857
1596.965496,0.070974042
1597.006773,0.071440005
1597.047771,0.071905746
1597.088535,0.072371265
1597.129107,0.072836563
1597.169518,0.073301639
1597.209794,0.073766494
1597.249957,0.074231127
1597.290029,0.07469554
1597.330026,0.075159732
1597.369957,0.075623703
1597.409836,0.076087453
