True stress (Mpa),True strain,True plastic strain
1.60E-12,0,
40.69159194,0.000173152,
81.41870083,0.000346291,
122.1813442,0.000519417,
162.9795446,0.000692531,
203.813323,0.000865633,
244.6827004,0.001038722,
285.5876979,0.001211798,
326.5283368,0.001384862,
367.5046381,0.001557914,
408.5166231,0.001730953,
449.5643129,0.00190398,
490.6477287,0.002076994,
531.7663752,0.002249996,
572.8593527,0.002423026,
613.3723602,0.002596438,
652.3669442,0.00277084,
687.8549062,0.002947518,
717.4807417,0.003127999,
741.2202249,0.003312288,
759.2010111,0.003500311,
785.5195486,0.003982416,
799.7960011,0.004472073,
809.0434463,0.004964772,
815.9237084,0.005458719,
821.5991624,0.005953193,
826.4315309,0.006448035,
830.6207859,0.006943087,
834.2589173,0.00743824,
837.4455761,0.007933419,
840.2907943,0.00842856,
842.890321,0.008923586,
845.2845097,0.009418467,
847.4937044,0.00991319,
849.5428179,0.010407741,
851.4717189,0.010902097,
853.3079578,0.011396251,
855.0634846,0.011890202,
856.7514906,0.012383937,
858.3796978,0.012877453,
859.9516692,0.013370747,
861.4732275,0.013863815,
862.9528223,0.014356651,
864.3967997,0.014849254,
865.8077212,0.015341623,
867.1874691,0.015833762,
868.5388217,0.016325677,
869.8642005,0.016817371,
871.1651565,0.017308847,
872.4429372,0.017800103,
873.6989249,0.018291139,
874.934751,0.018781953,
876.1524105,0.019272545,
877.3540375,0.019762913,
878.5417313,0.020253056,
879.7173336,0.020742972,
880.8822022,0.021232658,
882.0372095,0.021722113,
883.1828668,0.022211338,
884.3194877,0.022700332,
885.4473331,0.023189093,
886.5667123,0.023677623,
887.6780315,0.024165922,
888.7817945,0.024653989,
889.8785386,0.025141826,
890.9687707,0.025629432,
892.0529383,0.026116808,
893.1314167,0.026603954,
894.2045084,0.027090871,
895.2724588,0.027577558,
896.335451,0.028064015,
897.3936182,0.028550243,
898.4470668,0.029036241,
899.4959142,0.02952201,
900.5403093,0.030007549,
901.5804289,0.030492859,
902.6164513,0.030977938,
903.648537,0.031462787,
904.6768189,0.031947405,
905.7014034,0.032431793,
906.7223789,0.032915951,
907.7398154,0.033399879,
908.753775,0.033883576,
909.7643213,0.034367043,
910.7715198,0.03485028,
911.7754369,0.035333287,
912.7761372,0.035816063,
913.7736747,0.036298608,
914.7680936,0.036780923,
915.7594341,0.037263007,
916.7477292,0.03774486,
917.7330122,0.038226481,
918.7153196,0.038707871,
919.6946915,0.039189031,
920.6711668,0.039669959,
921.644787,0.040150655,
922.6155878,0.040631122,
923.5836117,0.041111357,
924.5488974,0.041591362,
925.5114819,0.042071136,
926.4713969,0.042550681,
927.4286741,0.043029996,
928.3833394,0.043509081,
929.3354057,0.043987937,
930.2848894,0.044466563,
931.231795,0.044944961,
932.1761313,0.04542313,
933.1178992,0.04590107,
934.0571055,0.046378782,
934.9937571,0.046856267,
935.9278619,0.047333524,
936.8594247,0.047810555,
937.7884522,0.048287358,
938.7149527,0.048763936,
939.6389353,0.049240288,
940.5604105,0.049716414,
941.4793887,0.050192314,
942.3958818,0.050667989,
943.3099084,0.051143439,
944.2214878,0.051618665,
945.1306467,0.052093665,
946.0374184,0.052568441,
946.9418443,0.053042992,
947.8439708,0.053517319,
948.7438472,0.053991422,
949.6415234,0.054465302,
950.5370486,0.054938958,
951.4304698,0.05541239,
952.3218348,0.0558856,
953.2111845,0.056358587,
954.0985577,0.05683135,
954.9839896,0.057303892,
955.8675103,0.05777621,
956.7491479,0.058248306,
957.628917,0.058720179,
958.5068362,0.05919183,
959.3829132,0.059663259,
960.2571554,0.060134464,
961.129563,0.060605447,
962.0001351,0.061076207,
962.8688747,0.061546745,
963.7357791,0.062017059,
964.6008511,0.062487151,
965.4640943,0.06295702,
966.3255235,0.063426666,
967.185154,0.06389609,
968.0430095,0.064365291,
968.8991134,0.064834269,
969.7534946,0.065303025,
970.6061749,0.065771559,
971.4571797,0.06623987,
972.3065299,0.06670796,
973.1542415,0.067175828,
974.00033,0.067643473,
974.844805,0.068110898,
975.6876781,0.0685781,
976.5289528,0.069045082,
977.368634,0.069511842,
978.2067205,0.069978382,
979.0432146,0.0704447,
979.8781168,0.070910798,
980.7114265,0.071376676,
981.5431528,0.071842333,
982.3733017,0.07230777,
983.2018842,0.072772987,
984.0289164,0.073237984,
984.8544125,0.073702762,
985.678391,0.074167319,
986.5008709,0.074631657,
987.3218731,0.075095775,
988.1414106,0.075559674,
988.9595049,0.076023353,
989.7761735,0.076486814,
