Material1,,,Sim.p1,,,,Sim.p2,,,,Sim.p3,,,,Sim.p4,,,,Sim.p5,,,,Sim.p6,,,,Sim.p7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exp,,,450131,,,,450259,,,,450131,,,,450131,,,,450131,,,,450131,,,,450131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True stress, MPa","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,"True stress, MPa","True strain, -","True plastic strain, -",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.489876469,,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,1.15E-12,0,-2.55E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.705707364,-4.21956E-05,,107.0408575,0.000238248,4.48E-07,,57.78610569,0.000128657,3.17E-07,,57.78610569,0.000128657,2.81E-07,,57.78610569,0.000128657,2.81E-07,,57.78610569,0.000128657,2.81E-07,,57.78610569,0.000128657,2.81E-07,,57.78610569,0.000128657,2.81E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.092295238,-5.9037E-05,,214.2102459,0.00047647,5.85E-07,,115.6096773,0.000257306,5.44E-07,,115.6096773,0.000257306,4.71E-07,,115.6096773,0.000257306,4.71E-07,,115.6096773,0.000257306,4.71E-07,,115.6096773,0.000257306,4.71E-07,,115.6096773,0.000257306,4.71E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.751440715,-4.54619E-05,,321.5082673,0.000714666,4.11E-07,,173.4707309,0.000385948,6.79E-07,,173.4707309,0.000385948,5.70E-07,,173.4707309,0.000385948,5.70E-07,,173.4707309,0.000385948,5.70E-07,,173.4707309,0.000385948,5.70E-07,,173.4707309,0.000385948,5.70E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.69998468,-7.87756E-05,,428.9348448,0.000952837,-7.46E-08,,231.3692825,0.000514583,7.24E-07,,231.3692825,0.000514583,5.78E-07,,231.3692825,0.000514583,5.78E-07,,231.3692825,0.000514583,5.78E-07,,231.3692825,0.000514583,5.78E-07,,231.3692825,0.000514583,5.78E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.80728601,-6.8206E-05,,536.4613165,0.001190992,-7.97E-07,,289.3053483,0.00064321,6.79E-07,,289.3053483,0.00064321,4.96E-07,,289.3053483,0.00064321,4.96E-07,,289.3053483,0.00064321,4.96E-07,,289.3053483,0.00064321,4.96E-07,,289.3053483,0.00064321,4.96E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.96536499,-6.92996E-05,,643.0025158,0.001429528,1.05E-06,,347.278944,0.000771829,5.42E-07,,347.2789409,0.000771829,3.23E-07,,347.2789409,0.000771829,3.23E-07,,347.2789409,0.000771829,3.23E-07,,347.2789409,0.000771829,3.23E-07,,347.2789409,0.000771829,3.23E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.21786336,-9.19795E-05,,737.7761614,0.001672361,3.33E-05,,405.2900025,0.000900441,3.15E-07,,405.289743,0.000900441,5.95E-08,,405.289743,0.000900441,5.95E-08,,405.289743,0.000900441,5.95E-08,,405.289743,0.000900441,5.95E-08,,405.289743,0.000900441,5.95E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.56858711,-9.24698E-05,,801.5982315,0.001926422,1.46E-04,,463.3365408,0.001029047,2.04E-09,,463.3315703,0.001029048,-2.78E-07,,463.3315707,0.001029048,-2.78E-07,,463.3315706,0.001029048,-2.78E-07,,463.3315706,0.001029048,-2.78E-07,,463.3315703,0.001029048,-2.78E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.01376138,-8.28404E-05,,839.1813908,0.002189944,3.26E-04,,521.3964751,0.001157653,-3.39E-07,,521.3385868,0.001157674,-5.19E-07,,521.3386354,0.001157674,-5.19E-07,,521.3386224,0.001157674,-5.19E-07,,521.3386215,0.001157674,-5.19E-07,,521.3385877,0.001157674,-5.19E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.54554348,-9.4383E-05,,864.9944235,0.002457657,5.36E-04,,579.2960925,0.001286325,-2.59E-07,,578.8303533,0.001286495,5.79E-07,,578.8323147,0.001286494,5.74E-07,,578.8317897,0.001286494,5.76E-07,,578.831753,0.001286494,5.76E-07,,578.8303883,0.001286495,5.79E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.1520234,-0.000120029,,886.2541764,0.002726945,7.58E-04,,636.1056855,0.001415399,2.64E-06,,633.7139009,0.001416271,8.43E-06,,633.7426699,0.00141626,8.35E-06,,633.735004,0.001416263,8.37E-06,,633.7344664,0.001416263,8.37E-06,,633.7144582,0.001416271,8.43E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.80931102,-0.000113978,,905.4588651,0.002996902,9.85E-04,,688.9262631,0.001545931,1.59E-05,,681.4455983,0.001548653,3.48E-05,,681.6280533,0.001548587,3.43E-05,,681.5796341,0.001548604,3.44E-05,,681.5762329,0.001548606,3.44E-05,,681.4495197,0.001548652,3.48E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.53402825,-0.000126209,,923.4797201,0.003267215,1.22E-03,,733.273843,0.001679544,5.10E-05,,718.0928273,0.001685063,8.98E-05,,718.7154405,0.001684836,8.82E-05,,718.5507339,0.001684896,8.86E-05,,718.53915,0.0016849,8.86E-05,,718.1079016,0.001685057,8.97E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.29800337,-0.000128633,,940.6728195,0.003537754,1.45E-03,,766.606811,0.001817151,1.15E-04,,743.8896074,0.001825402,1.73E-04,,745.3045138,0.001824888,1.69E-04,,744.9310278,0.001825023,1.70E-04,,744.9047386,0.001825033,1.70E-04,,743.9284061,0.001825388,1.73E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.02255491,-0.000165983,,957.2151775,0.003808456,1.68E-03,,790.1142666,0.00195831,2.04E-04,,761.8899813,0.001968553,2.76E-04,,764.3918189,0.001967644,2.69E-04,,763.7323832,0.001967884,2.71E-04,,763.6859409,0.0019679,2.71E-04,,761.9676102,0.001968525,2.76E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.76178365,-0.00015761,,973.2110904,0.004079281,1.92E-03,,806.7620893,0.002101937,3.10E-04,,775.1554164,0.002113401,3.91E-04,,778.946382,0.002112024,3.82E-04,,777.9480756,0.002112386,3.84E-04,,777.8777436,0.002112412,3.84E-04,,775.2878965,0.002113353,3.91E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.53606119,-0.000173488,,988.7292541,0.004350205,2.15E-03,,819.1976498,0.002247068,4.28E-04,,785.7064218,0.002259211,5.14E-04,,790.9171708,0.002257319,5.00E-04,,789.5456873,0.002257817,5.04E-04,,789.4490465,0.002257852,5.04E-04,,785.9101429,0.002259137,5.13E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.3412359,-0.000191405,,1003.818206,0.00462121,2.39E-03,,829.1463066,0.002393079,5.52E-04,,794.6738927,0.002405573,6.40E-04,,801.3901869,0.002403135,6.23E-04,,799.6228101,0.002403777,6.27E-04,,799.4982638,0.002403822,6.28E-04,,794.9654952,0.002405468,6.39E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.19919891,-0.000182272,,1018.51428,0.004892283,2.63E-03,,837.5956797,0.00253961,6.79E-04,,802.6578958,0.00255227,7.69E-04,,810.938665,0.002549265,7.48E-04,,808.7595583,0.002550055,7.53E-04,,808.6059994,0.002550111,7.54E-04,,803.0542201,0.002552126,7.68E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.08133181,-0.000212157,,1032.846133,0.005163413,2.87E-03,,845.0880056,0.002686466,8.10E-04,,809.9797311,0.002699185,9.00E-04,,819.8671367,0.002695597,8.74E-04,,817.2647457,0.002696541,8.81E-04,,817.0813723,0.002696608,8.81E-04,,810.4977457,0.002698997,8.98E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.02250239,-0.000212456,,1046.837271,0.005434592,3.11E-03,,851.92404,0.002833537,9.41E-04,,816.819562,0.002846252,1.03E-03,,828.3444591,0.002842072,1.00E-03,,825.3101149,0.002843172,1.01E-03,,825.0963308,0.00284325,1.01E-03,,817.4762748,0.002846014,1.03E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.00609014,-0.000224244,,1060.50747,0.005705812,3.35E-03,,858.2777327,0.002980761,1.07E-03,,823.2848512,0.002993433,1.16E-03,,836.4701082,0.002988652,1.13E-03,,832.9971815,0.002989911,1.14E-03,,832.7525356,0.00299,1.14E-03,,824.0972295,0.002993139,1.16E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.00341828,-0.000255934,,1073.873663,0.005977068,3.59E-03,,864.2553992,0.003128099,1.21E-03,,829.4440203,0.003140704,1.30E-03,,844.3066545,0.003135316,1.26E-03,,840.3900083,0.003136735,1.27E-03,,840.1141564,0.003136835,1.27E-03,,830.4289225,0.003140347,1.30E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.05247569,-0.000218328,,1086.950557,0.006248353,3.83E-03,,869.9259093,0.003275526,1.34E-03,,835.3435354,0.003288046,1.43E-03,,851.8961295,0.003282047,1.39E-03,,847.5317573,0.003283629,1.40E-03,,847.2244354,0.00328374,1.40E-03,,836.517655,0.003287621,1.43E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.12106582,-0.000215776,,1099.751074,0.006519663,4.08E-03,,875.3365368,0.003423026,1.48E-03,,841.0168094,0.003435449,1.57E-03,,859.2685208,0.003428836,1.52E-03,,854.453291,0.00343058,1.53E-03,,854.1142978,0.003430703,1.53E-03,,842.3966323,0.003434949,1.56E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.19301658,-0.000224779,,1112.286694,0.006790993,4.32E-03,,880.5214876,0.003570585,1.61E-03,,846.4889558,0.003582902,1.70E-03,,866.4462753,0.003575673,1.65E-03,,861.1777409,0.003577581,1.66E-03,,860.8069237,0.003577715,1.67E-03,,848.0907292,0.003582322,1.70E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.27684758,-0.000220881,,1124.567718,0.007062341,4.56E-03,,885.506575,0.003718194,1.75E-03,,851.7794884,0.0037304,1.84E-03,,873.4467967,0.003722552,1.78E-03,,867.7230524,0.003724625,1.80E-03,,867.3202972,0.003724771,1.80E-03,,853.6191971,0.003729733,1.83E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.36586067,-0.0002135,,1136.603459,0.007333703,4.81E-03,,890.3119133,0.003865847,1.89E-03,,856.9040046,0.003877935,1.97E-03,,880.2839458,0.003869469,1.91E-03,,874.1035286,0.003871707,1.93E-03,,873.6687528,0.003871864,1.93E-03,,858.9973464,0.003877177,1.97E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.45210106,-0.000212697,,1148.402373,0.007605075,5.05E-03,,894.9536042,0.004013537,2.03E-03,,861.8753075,0.004025504,2.11E-03,,886.9690274,0.00401642,2.05E-03,,880.3308528,0.004018822,2.06E-03,,879.864001,0.004018991,2.06E-03,,864.2376711,0.004024648,2.10E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.54917274,-0.000230929,,1159.972176,0.007876454,5.30E-03,,899.444865,0.004161259,2.16E-03,,866.7041698,0.004173103,2.25E-03,,893.511477,0.0041634,2.18E-03,,886.4147984,0.004165968,2.20E-03,,885.9158393,0.004166148,2.20E-03,,869.3506153,0.004172144,2.24E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.64337268,-0.000229811,,1171.319931,0.008147839,5.55E-03,,903.7968018,0.004309009,2.30E-03,,871.3998568,0.004320727,2.38E-03,,899.9193452,0.004310407,2.31E-03,,892.3637254,0.00431314,2.33E-03,,891.8326501,0.004313332,2.33E-03,,874.3451005,0.004319661,2.38E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.7746092,-0.000216515,,1182.452141,0.008419226,5.79E-03,,908.0189429,0.004456784,2.44E-03,,875.9704838,0.004468375,2.52E-03,,906.1996366,0.004457438,2.44E-03,,898.1849244,0.004460337,2.46E-03,,897.6217442,0.004460541,2.47E-03,,879.2288865,0.004467195,2.51E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.92509748,-0.000225676,,1193.374818,0.008690614,6.04E-03,,912.1196132,0.004604581,2.58E-03,,880.4232509,0.004616043,2.66E-03,,912.3585414,0.004604491,2.58E-03,,903.884849,0.004607555,2.60E-03,,903.289594,0.004607771,2.60E-03,,884.0088091,0.004614745,2.65E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.09677553,-0.000229864,,1204.093553,0.008962,6.29E-03,,916.1061904,0.004752397,2.72E-03,,884.7645955,0.00476373,2.80E-03,,918.4015901,0.004751564,2.71E-03,,909.4692697,0.004754794,2.73E-03,,908.8419868,0.004755021,2.74E-03,,888.6909357,0.004762309,2.79E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.3233102,-0.000230865,,1214.613568,0.009233383,6.54E-03,,919.9852744,0.00490023,2.86E-03,,889.0003016,0.004911432,2.94E-03,,924.333759,0.004898656,2.85E-03,,914.9433785,0.00490205,2.87E-03,,914.2841299,0.004902289,2.87E-03,,893.2806758,0.004909883,2.93E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.5855627,-0.00023178,,1224.939771,0.009504761,6.78E-03,,923.7628016,0.005048077,3.00E-03,,893.1355898,0.005059149,3.07E-03,,930.159549,0.005045764,2.98E-03,,920.31187,0.005049323,3.00E-03,,919.6207315,0.005049573,3.01E-03,,897.7828727,0.005057468,3.06E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.8799038,-0.000230807,,1292.127495,0.01140414,8.53E-03,,927.4441338,0.005195937,3.14E-03,,897.1751998,0.005206879,3.21E-03,,935.8830521,0.005192886,3.11E-03,,925.5790106,0.00519661,3.14E-03,,924.8560702,0.005196871,3.14E-03,,902.201886,0.00520506,3.20E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.1692402,-0.000227512,,1351.35679,0.013302711,1.03E-02,,931.0341351,0.005343808,3.28E-03,,901.1234614,0.005354619,3.35E-03,,941.5080092,0.005340023,3.25E-03,,930.7487001,0.00534391,3.28E-03,,929.9940568,0.005344183,3.28E-03,,906.5416647,0.005352659,3.34E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.4386089,-0.000239065,,1403.675272,0.0152001,1.21E-02,,934.5372419,0.005491688,3.42E-03,,904.9843567,0.005502368,3.49E-03,,947.0378595,0.005487172,3.38E-03,,935.8245246,0.005491223,3.41E-03,,935.0382879,0.005491507,3.41E-03,,910.8058095,0.005500263,3.48E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.724534,-0.000234608,,1449.955717,0.017095999,1.39E-02,,937.9575236,0.005639576,3.56E-03,,908.7615678,0.005650126,3.63E-03,,952.4757836,0.005634332,3.52E-03,,940.8098023,0.005638546,3.55E-03,,939.9920911,0.005638841,3.55E-03,,914.9976227,0.005647871,3.62E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.995661,-0.00023443,,1490.948836,0.018990149,1.57E-02,,941.2987334,0.00578747,3.70E-03,,912.4585131,0.005797891,3.77E-03,,957.8247381,0.005781503,3.65E-03,,945.7076194,0.005785878,3.68E-03,,944.8585617,0.005786185,3.69E-03,,919.1201464,0.005795482,3.75E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.2445556,-0.000223012,,1527.30869,0.020882323,1.75E-02,,944.5643485,0.00593537,3.84E-03,,916.0783723,0.005945661,3.91E-03,,963.0874843,0.005928682,3.79E-03,,950.5208584,0.00593322,3.82E-03,,949.6405906,0.005933537,3.82E-03,,923.1761895,0.005943095,3.89E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.430548,-0.000224204,,1559.607807,0.022772327,1.93E-02,,947.7575993,0.006083273,3.98E-03,,919.6241059,0.006093436,4.05E-03,,968.266609,0.00607587,3.92E-03,,955.2522187,0.006080568,3.96E-03,,954.3408847,0.006080897,3.96E-03,,927.1683482,0.006090709,4.03E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.5327827,-0.000218399,,1588.347883,0.024659993,2.11E-02,,950.8814907,0.006231179,4.12E-03,,923.0984704,0.006241215,4.19E-03,,973.3645412,0.006223065,4.06E-03,,959.9042315,0.006227924,4.10E-03,,958.9619823,0.006228264,4.10E-03,,931.0990224,0.006238324,4.17E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
